Kateg¢riaazonos°t¢;Kateg¢ria;ID;MegnevezÇs;MegnevezÇs a nyugt†n;Cikksz†m;Vonalk¢d;Elad†si †r, Ft;BeszerzÇsi †r, Ft;MÇrÇsi egysÇg ÇrtÇkes°tÇskor;MÇrtÇkegysÇg felhaszn†l†skor;Felhaszn†lhat¢ menyisÇgi egysÇg (KiszerelÇs);Nett¢ tîmeg, g.;Brutt¢ tîmeg, g.;Kritikus mennyisÇg;Kiv†nt mennyisÇg;MegjegyzÇs
289876;BlondMe;6933830;BlondMe maszk: BM Maszk AllBlond;;2256593;;10730;8254;db.;ml;500;0;0;0;0;
289876;BlondMe;6933831;BlondMe maszk: BM Maszk AllBlond;;2256594;;6490;4952;db.;ml;200;0;0;0;0;
289876;BlondMe;6933832;BlondMe maszk: BM Melegszãke maszk;;2175505;;6490;4952;db.;ml;200;0;0;0;0;
289876;BlondMe;6933833;BlondMe Paint on lightener;;;;8750;5687;db.;ml;250;0;0;1;3;
289876;BlondMe;6933834;BlondMe Sampon: BM Hidegszãke sampon;;2144625;;10730;8254;db.;ml;1000;0;0;0;0;
289876;BlondMe;6933835;BlondMe Sampon: BM Hidegszãke sampon;;2144627;;4790;3555;db.;ml;250;0;0;0;0;
289876;BlondMe;6933836;BlondMe Sampon: BM Melegszãke sampon;;2144601;;4790;3555;db.;ml;250;0;0;0;0;
289876;BlondMe;6933837;BlondMe Sampon: BM Sampon AllBlond;;2143843;;10730;8254;db.;ml;1000;0;0;0;0;
289876;BlondMe;6933838;BlondMe Sampon: BM Sampon AllBlond;;2143845;;4790;3555;db.;ml;250;0;0;0;0;
289877;BlondMe HajfestÇkek;6933839;BlondMe szÇrum/elix°r: BM Bonding Potion szÇrum;;2144621;;6603;5079;db.;ml;150;0;0;0;0;
289877;BlondMe HajfestÇkek;6933840;BlondMe szÇrum/elix°r: BM HajfÇny Elix°r;;2144622;;4787;3682;db.;ml;150;0;0;0;0;
289876;BlondMe;6933841;BlondMe Szãk°tãpor: BM PrÇmium szãk°tãpor 9+;;2143685;;12390;9524;db.;g.;450;0;0;0;0;
289903;Irodaszer;6933960;Bor°tÇk C4 nagy;;;;0;22;db.;db.;1;0;0;0;0;
289903;Irodaszer;6933961;Bor°tÇk C6 kicsi;;;;0;5;db.;db.;1;0;0;0;0;
289886;Eszkîzîk;6933962;Bãrtol¢-kapar¢ Flat 2 in;;PNSE624;5,99906E+12;1937;1490;db.;db.;0;0;0;0;0;
289886;Eszkîzîk;6933963;Bãrtol¢-kapar¢ Pro 2 in;;PNSE623;5,99906E+12;1937;1490;db.;db.;0;0;0;0;0;
289886;Eszkîzîk;6933964;Bãrtol¢-kapar¢-hajl°t¢ MULTI;;PNSE625;5,99906E+12;3887;2990;db.;db.;0;0;0;0;0;
289918;Lemos¢k/leold¢k/fix†l¢k;6933965;Brush Cleaner 100ml;;PNSA805;5,99906E+12;1937;1490;db.;ml;100;0;0;0;0;
289918;Lemos¢k/leold¢k/fix†l¢k;6933966;Brush Cleaner 250ml;;PNSA806;5,99906E+12;3874;2980;db.;ml;250;0;0;0;0;
289918;Lemos¢k/leold¢k/fix†l¢k;6933967;Brush Cleaner 30ml;;PNSA804;5,99906E+12;1027;790;db.;ml;30;0;0;0;0;
289930;Pedik˚r;6933968;Brush on gel tipragaszt¢;;;;1235;950;db.;db.;1;0;0;0;0;
289886;Eszkîzîk;6933969;B£tor l†mpa (asztali) LED;;PNB0016;5,99906E+12;18070;13900;db.;db.;0;0;0;0;0;
289886;Eszkîzîk;6933971;C-°v hajl°t¢ csipesz ÈJ;;PNSE629;5,99906E+12;2457;1890;db.;db.;0;0;0;0;0;
289886;Eszkîzîk;6933972;C-°v hajl°t¢ Diamond;;PNSE631;5,99906E+12;7267;5590;db.;db.;0;0;0;0;0;
289930;Pedik˚r;6933973;Callus Repair Cream 250ml;;;;1937;1490;db.;ml;250;0;0;0;0;
289903;Irodaszer;6933974;Cellux kicsi;;;;0;30;db.;db.;1;0;0;0;0;
289903;Irodaszer;6933975;Cellux nagy;;;;0;400;db.;db.;1;0;0;0;0;
289903;Irodaszer;6933976;Ceruza;;;;0;250;db.;db.;1;0;0;0;0;
289881;D°sz°tÇs;6933977;CHAMELEON Flakes Color 1 - SOLAR;;PNDPE004;5,99906E+12;1677;1290;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933978;CHAMELEON Flakes Color 2 - DAWN;;PNDPE005;5,99906E+12;1677;1290;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933979;CHAMELEON Flakes Color 3 - ATLANTIC;;PNDPE006;5,99906E+12;1677;1290;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933980;CHAMELEON Flakes Transparent 1 - CRYOLIT;;PNDPE001;5,99906E+12;1677;1290;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933981;CHAMELEON Flakes Transparent 2 - GLACIER;;PNDPE002;5,99906E+12;1677;1290;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933982;CHAMELEON Flakes Transparent 3 - CREEK;;PNDPE003;5,99906E+12;1677;1290;db.;db.;0;0;0;0;0;
289930;Pedik˚r;6933987;Citrus & Mint foot balsam 250ml;;;;2200;1590;db.;ml;250;0;0;0;0;
289870;Alap-Çs fedãlakkok, fedãfÇnyek;6933988;Coat - Base / Top Coat 15ml;;;5,99955E+12;1287;990;db.;ml;15;0;0;0;0;
